"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"2";2;"#, Legislador a Designar";"Cdad.Aut.Bs.As.";90;"#ffffff";"No Integra Bloque";"No Integra Bloque";2003;1
"4";4;"#, Legislador a Designar";"Córdoba";90;"#ffffff";"No Integra Bloque";"No Integra Bloque";2003;2
"9";9;"ABALOS, Roberto";"Santiago del Estero";147;"#d62728";"Unión Cívica Radical";"UCR";2003;3
"11";11;"ABDALA, Josefina";"Mendoza";147;"#d62728";"Unión Cívica Radical";"UCR";2003;2
"13";13;"ACCAVALLO, Julio César";"Rio Negro";67;"#ffffff";"FREPASO";"FREPASO";2003;4
"14";14;"ACEVEDO, Sergio Edgardo";"Santa Cruz";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"20";20;"AGUERO, Elda Susana";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;4
"23";23;"ALARCIA, Martha Carmen";"Córdoba";74;"#1f77b4";"Justicialista";"Justicialista";2003;4
"24";24;"ALARCON, María del Carmen";"Santa Fe";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"28";28;"ALCHOURON, Guillermo Eduardo";"Buenos Aires";3;"#ffffff";"Acción por la República";"Acción por la República";2003;3
"30";30;"ALESANDRI, Carlos Tomas";"Córdoba";74;"#1f77b4";"Justicialista";"Justicialista";2003;4
"31";31;"ALESSANDRO, Dario Pedro";"Cdad.Aut.Bs.As.";67;"#ffffff";"FREPASO";"FREPASO";2003;1
"35";35;"ALLENDE, Alfredo Estanislao";"Buenos Aires";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2003;4
"36";36;"ALONSO, Gumersindo Federico";"Córdoba";103;"#ffffff";"Partido Nuevo Contra la Corrupción";"Partido Nuevo Contra la Corrupción";2003;2
"42";42;"ALVAREZ, Juan José";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"43";43;"ALVAREZ, Roque Tobías";"Tucumán";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"47";47;"AMSTUTZ, Guillermo";"Mendoza";74;"#1f77b4";"Justicialista";"Justicialista";2003;3
"54";54;"ARGÜELLO, Jorge";"Cdad.Aut.Bs.As.";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"56";56;"ARGUL, Marta del Carmen";"Jujuy";81;"#ffffff";"MO.RE.CI";"MO.RE.CI";2003;4
"58";58;"ARNALDI, Monica Susana";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;4
"59";59;"ARNOLD, Eduardo Ariel";"Santa Cruz";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"62";62;"ARTOLA, Isabel Amanda";"Buenos Aires";60;"#ffffff";"Frente Popular Bonaerense";"Frente Popular Bonaerense";2003;2
"66";66;"ATANASOF, Alfredo Néstor";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"70";70;"BAIGORRI, Guillermo Francisco";"San Juan";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"71";71;"BAIGORRIA, Miguel Angel";"Tierra del Fuego";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"72";72;"BALADRON, Manuel Justo";"La Pampa";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"76";76;"BALIAN, Alejandro";"Córdoba";147;"#d62728";"Unión Cívica Radical";"UCR";2003;4
"77";77;"BALTUZZI, Angel Enzo";"Santa Fe";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"79";79;"BARBAGELATA, María Elena";"Cdad.Aut.Bs.As.";104;"#fa58f4";"Partido Socialista";"PS";2003;3
"86";86;"BASILE, Daniel Armando";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"87";87;"BASTEIRO, Sergio Ariel";"Buenos Aires";104;"#fa58f4";"Partido Socialista";"PS";2003;3
"89";89;"BASUALDO, Roberto";"San Juan";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"90";90;"BAYLAC, Juan Pablo";"Buenos Aires";147;"#d62728";"Unión Cívica Radical";"UCR";2003;3
"91";91;"BAYONZO, Liliana Amelia";"Chaco";147;"#d62728";"Unión Cívica Radical";"UCR";2003;4
"93";93;"BECCANI, Alberto Juan";"Santa Fe";147;"#d62728";"Unión Cívica Radical";"UCR";2003;2
"94";94;"BECERRA, Omar Enrique";"Tierra del Fuego";74;"#1f77b4";"Justicialista";"Justicialista";2003;4
"96";96;"BEJARANO, Mario Fernando";"Formosa";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"104";104;"BERTOLYOTTI, Delma Noemí";"Entre Ríos";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"105";105;"BERTONE, Rosana Andrea";"Tierra del Fuego";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"107";107;"BIANCHI SILVESTRE, Marcela";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"114";114;"BIGLIERI, María Emilia";"Santa Fe";31;"#ffffff";"Demócrata Progresista";"Demócrata Progresista";2003;1
"118";118;"BLANCO, Jesus Abel";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"119";119;"BONACINA, Mario Hector";"Santiago del Estero";83;"#ffffff";"Movimiento Cívico y Social";"Movimiento Cívico y Social";2003;4
"120";120;"BONACORSI, Juan Carlos";"Buenos Aires";142;"#ffffff";"Unidad Federalista";"Unidad Federalista";2003;2
"121";121;"BONASSO, Miguel";"Cdad.Aut.Bs.As.";97;"#ffffff";"Partido de la Revolución Democrática";"Partido de la Revolución Democrática";2003;2
"122";122;"BORDENAVE, Marcela Antonia";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2003;3
"123";123;"BORSANI, Luis Gustavo";"Mendoza";147;"#d62728";"Unión Cívica Radical";"UCR";2003;2
"124";124;"BORTOLOZZI de BOGADO, Adriana Raquel";"Formosa";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
"125";125;"BOSCH de SARTORI, Irene Miriam";"Misiones";65;"#ffffff";"Frente Renovador";"Frente Renovador";2003;2
"126";126;"BOSSA, Mauricio";"Córdoba";139;"#ffffff";"U. Ce. De.";"U. Ce. De.";2003;1
"127";127;"BRAVO, Alfredo Pedro";"Cdad.Aut.Bs.As.";1;"#2ca02c";"A.R.I";"ARI";2003;4
"129";129;"BREARD, Noel Eugenio";"Corrientes";147;"#d62728";"Unión Cívica Radical";"UCR";2003;3
"131";131;"BRIOZZO, Alberto Nicolas";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2003;2
"132";132;"BRITOS, Oraldo Norvel";"San Luis";74;"#1f77b4";"Justicialista";"Justicialista";2003;1
